ds,Company,Metric,yhat
2024-01-31,Alpha Corp,Revenue,125560.67263800855
2024-02-29,Alpha Corp,Revenue,141375.7545217474
2024-03-31,Alpha Corp,Revenue,145449.3723691763
2024-04-30,Alpha Corp,Revenue,101633.69847383101
2024-05-31,Alpha Corp,Revenue,91487.75407796644
2024-06-30,Alpha Corp,Revenue,168376.54165870458
2024-07-31,Alpha Corp,Revenue,120821.9407124575
2024-08-31,Alpha Corp,Revenue,75516.34520891766
2024-09-30,Alpha Corp,Revenue,126299.3370139323
2024-10-31,Alpha Corp,Revenue,77746.81007637616
2024-11-30,Alpha Corp,Revenue,164812.45486443507
2024-12-31,Alpha Corp,Revenue,117928.97599701867
2024-01-31,Alpha Corp,Expenses,36392.18538874749
2024-02-29,Alpha Corp,Expenses,105403.91088817942
2024-03-31,Alpha Corp,Expenses,67792.86112588999
2024-04-30,Alpha Corp,Expenses,62324.66569032046
2024-05-31,Alpha Corp,Expenses,64036.07273944441
2024-06-30,Alpha Corp,Expenses,63081.60589557031
2024-07-31,Alpha Corp,Expenses,82913.90388103676
2024-08-31,Alpha Corp,Expenses,73790.21079379285
2024-09-30,Alpha Corp,Expenses,74480.22455067399
2024-10-31,Alpha Corp,Expenses,95343.69423002643
2024-11-30,Alpha Corp,Expenses,81138.9919227186
2024-12-31,Alpha Corp,Expenses,75988.60654503436
2024-01-31,Beta Ltd,Revenue,139251.72590735156
2024-02-29,Beta Ltd,Revenue,110353.36092192709
2024-03-31,Beta Ltd,Revenue,134743.17829168
2024-04-30,Beta Ltd,Revenue,161980.63069294154
2024-05-31,Beta Ltd,Revenue,169301.38649364805
2024-06-30,Beta Ltd,Revenue,136917.04542644406
2024-07-31,Beta Ltd,Revenue,130120.96226822917
2024-08-31,Beta Ltd,Revenue,150468.1225015982
2024-09-30,Beta Ltd,Revenue,114763.47379803535
2024-10-31,Beta Ltd,Revenue,153471.56136721512
2024-11-30,Beta Ltd,Revenue,132015.74776153525
2024-12-31,Beta Ltd,Revenue,110711.22085512726
2024-01-31,Beta Ltd,Expenses,66865.65125811318
2024-02-29,Beta Ltd,Expenses,115372.3082176279
2024-03-31,Beta Ltd,Expenses,104650.54407161166
2024-04-30,Beta Ltd,Expenses,84878.15402743052
2024-05-31,Beta Ltd,Expenses,107400.31814545259
2024-06-30,Beta Ltd,Expenses,135885.95821350563
2024-07-31,Beta Ltd,Expenses,44273.486746897506
2024-08-31,Beta Ltd,Expenses,75934.30123647813
2024-09-30,Beta Ltd,Expenses,111057.29596511288
2024-10-31,Beta Ltd,Expenses,118201.67703738532
2024-11-30,Beta Ltd,Expenses,71196.58538565232
2024-12-31,Beta Ltd,Expenses,86072.16128771636
2024-01-31,Gamma Inc,Revenue,94087.97762704297
2024-02-29,Gamma Inc,Revenue,120850.21118846723
2024-03-31,Gamma Inc,Revenue,95066.61766351305
2024-04-30,Gamma Inc,Revenue,97513.5055761401
2024-05-31,Gamma Inc,Revenue,107698.75834981365
2024-06-30,Gamma Inc,Revenue,126940.04206128896
2024-07-31,Gamma Inc,Revenue,136733.82816964266
2024-08-31,Gamma Inc,Revenue,101515.3528172042
2024-09-30,Gamma Inc,Revenue,161428.998589076
2024-10-31,Gamma Inc,Revenue,95086.96604791074
2024-11-30,Gamma Inc,Revenue,134598.90936782947
2024-12-31,Gamma Inc,Revenue,121128.17648943039
2024-01-31,Gamma Inc,Expenses,69460.21055653387
2024-02-29,Gamma Inc,Expenses,83178.65095834728
2024-03-31,Gamma Inc,Expenses,82100.12627251072
2024-04-30,Gamma Inc,Expenses,65839.3301848465
2024-05-31,Gamma Inc,Expenses,54046.53408586669
2024-06-30,Gamma Inc,Expenses,87726.64887053412
2024-07-31,Gamma Inc,Expenses,81569.8535023485
2024-08-31,Gamma Inc,Expenses,93621.87783243127
2024-09-30,Gamma Inc,Expenses,57330.66325322233
2024-10-31,Gamma Inc,Expenses,70677.99223903177
2024-11-30,Gamma Inc,Expenses,67044.89544717397
2024-12-31,Gamma Inc,Expenses,95247.07994349071
2024-01-31,Delta PLC,Revenue,86890.28273357777
2024-02-29,Delta PLC,Revenue,127004.88099065579
2024-03-31,Delta PLC,Revenue,89018.16004371307
2024-04-30,Delta PLC,Revenue,112210.72489589873
2024-05-31,Delta PLC,Revenue,130182.18001233389
2024-06-30,Delta PLC,Revenue,96030.78124895171
2024-07-31,Delta PLC,Revenue,117200.9055676979
2024-08-31,Delta PLC,Revenue,111097.13804585181
2024-09-30,Delta PLC,Revenue,80347.2285289516
2024-10-31,Delta PLC,Revenue,102633.5239574852
2024-11-30,Delta PLC,Revenue,116771.59634005884
2024-12-31,Delta PLC,Revenue,139543.1601441867
2024-01-31,Delta PLC,Expenses,96682.3139642675
2024-02-29,Delta PLC,Expenses,117092.4718592316
2024-03-31,Delta PLC,Expenses,106682.66040385768
2024-04-30,Delta PLC,Expenses,102365.07259244163
2024-05-31,Delta PLC,Expenses,125326.46227907254
2024-06-30,Delta PLC,Expenses,115987.9233977074
2024-07-31,Delta PLC,Expenses,104696.49063881933
2024-08-31,Delta PLC,Expenses,90545.67811462443
2024-09-30,Delta PLC,Expenses,111244.15519528062
2024-10-31,Delta PLC,Expenses,102380.81744842081
2024-11-30,Delta PLC,Expenses,103929.85887073353
2024-12-31,Delta PLC,Expenses,107804.22523682135
2024-01-31,Epsilon Co,Revenue,125534.54267037041
2024-02-29,Epsilon Co,Revenue,162265.56746023847
2024-03-31,Epsilon Co,Revenue,70884.65462315246
2024-04-30,Epsilon Co,Revenue,135126.73258458485
2024-05-31,Epsilon Co,Revenue,117561.03604685765
2024-06-30,Epsilon Co,Revenue,56385.735891418866
2024-07-31,Epsilon Co,Revenue,66563.54884851049
2024-08-31,Epsilon Co,Revenue,137076.4800180086
2024-09-30,Epsilon Co,Revenue,118923.54479284392
2024-10-31,Epsilon Co,Revenue,85680.02059863273
2024-11-30,Epsilon Co,Revenue,86480.46186724563
2024-12-31,Epsilon Co,Revenue,130977.1374557667
2024-01-31,Epsilon Co,Expenses,76597.20400744052
2024-02-29,Epsilon Co,Expenses,40434.776713689775
2024-03-31,Epsilon Co,Expenses,104080.95970259001
2024-04-30,Epsilon Co,Expenses,64212.63742149039
2024-05-31,Epsilon Co,Expenses,109024.56723339079
2024-06-30,Epsilon Co,Expenses,49457.466764889235
2024-07-31,Epsilon Co,Expenses,92282.83155014557
2024-08-31,Epsilon Co,Expenses,92333.67431352209
2024-09-30,Epsilon Co,Expenses,118742.9666323704
2024-10-31,Epsilon Co,Expenses,83015.61331552532
2024-11-30,Epsilon Co,Expenses,85389.50803642426
2024-12-31,Epsilon Co,Expenses,59941.5488667932
